time,latitude,longitude,altitude
12:45:45,52.265411,0.6735178,21715
12:46:05,52.265369,0.6740016,21831
12:46:25,52.26553,0.6745137,21942
12:46:45,52.26524,0.6748885,22062
12:47:05,52.264984,0.6747943,22180
12:47:25,52.26498,0.6742777,22299
12:47:45,52.265083,0.6743665,22418
12:48:25,52.266239,0.6735113,22659
12:48:05,52.265217,0.6741445,22538
12:48:45,52.267128,0.6733436,22780
12:49:05,52.267776,0.6742363,22897
12:49:25,52.268131,0.6760811,23013
12:49:45,52.268234,0.6773721,23128
12:50:05,52.268826,0.6781211,23247
12:50:25,52.269897,0.6790368,23365
12:50:45,52.270363,0.6809271,23486
12:51:25,52.269814,0.6848566,23725
12:51:05,52.269909,0.6831342,23604
12:51:45,52.26989,0.6859993,23849
12:52:05,52.270332,0.6871604,23973
12:52:25,52.270847,0.6879606,24104
12:52:45,52.271046,0.6890879,24233
12:53:05,52.270863,0.6904026,24366
12:53:25,52.270718,0.6915187,24035
12:53:45,52.270927,0.6926765,23599
12:54:25,52.272079,0.6959275,22756
12:54:05,52.271439,0.6943952,23171
12:54:45,52.272694,0.6955885,22349
12:55:05,52.272793,0.6952538,21949
12:55:45,52.2729,0.6968143,21235
12:55:25,52.272709,0.6958182,21588
12:56:05,52.272987,0.6969971,20888
12:56:25,52.272663,0.6980815,20546
12:56:45,52.272362,0.699944,20199
12:57:05,52.272522,0.7016699,19869
12:57:25,52.272831,0.7027317,19551
12:57:45,52.273563,0.7039921,19237
12:58:05,52.273563,0.7055768,18938
12:58:25,52.274048,0.7063803,18656
12:58:45,52.274395,0.7080946,18380
12:59:05,52.274456,0.7094645,18108
12:59:25,52.274757,0.7117233,17840
12:59:45,52.275043,0.7143511,17574
13:00:05,52.275314,0.717184,17314
13:00:25,52.275291,0.7202726,17071
13:00:45,52.27589,0.7221146,16827
13:01:05,52.276237,0.7248419,16570
13:01:25,52.276836,0.7271999,16337
13:01:45,52.277058,0.7292069,16087
13:02:05,52.277084,0.7327427,15859
13:02:25,52.277626,0.7356311,15638
13:02:45,52.277771,0.7369083,15423
13:03:05,52.278172,0.7396706,15205
13:03:25,52.27837,0.743429,14959
13:03:45,52.278656,0.7464224,14719
13:04:05,52.278835,0.7493826,14497
13:04:25,52.278553,0.7526279,14260
13:04:45,52.279118,0.7563279,14027
13:05:05,52.279675,0.7599121,13805
13:05:25,52.279858,0.7630442,13594
13:06:05,52.280552,0.7702754,13172
13:05:45,52.280041,0.766442,13379
13:06:25,52.280724,0.7734501,12970
13:06:45,52.280701,0.7760991,12768
13:07:05,52.280609,0.7788224,12572
13:07:25,52.280014,0.7817593,12381
13:07:45,52.279011,0.7849416,12192
13:08:05,52.278656,0.7882104,12002
13:08:25,52.278156,0.7913023,11818
13:09:05,52.275707,0.795877,11459
13:08:45,52.276985,0.7937729,11635
13:09:25,52.273998,0.798141,11286
13:09:45,52.272331,0.8004141,11110
13:10:05,52.270737,0.8026902,10940
13:10:25,52.269531,0.8057896,10773
13:10:45,52.268715,0.8092179,10614
13:11:25,52.267612,0.8145472,10294
13:11:05,52.268185,0.8118613,10453
13:11:45,52.267132,0.8179312,10138
13:12:05,52.266994,0.8212816,9986
13:12:25,52.267487,0.8250897,9835
13:12:45,52.268269,0.8286968,9686
13:13:05,52.268761,0.8320798,9538
13:13:25,52.269272,0.8354659,9388
13:13:45,52.269772,0.8389275,9239
13:14:05,52.270023,0.8422455,9093
13:14:25,52.270008,0.8452786,8950
13:14:45,52.269886,0.8481453,8803
13:15:05,52.269714,0.8512704,8661
13:15:25,52.269375,0.8545679,8518
13:15:45,52.269005,0.8579123,8374
13:16:05,52.268856,0.8611758,8231
13:16:25,52.268764,0.8645719,8092
13:16:45,52.268757,0.8677515,7957
13:17:05,52.26889,0.8707444,7822
13:17:25,52.269142,0.8739772,7689
